aa	Afar	Afaraf
iu	Inuktitut	ᐃᓄᒃᑎᑐᑦ
ja	Japanese	日本語 (にほんご)
jv	Javanese	basa Jawa
ka	Georgian	ქართული
kg	Kongo	Kikongo
ki	"Kikuyu, Gikuyu"	Gĩkũyũ
kj	"Kwanyama, Kuanyama"	Kuanyama
kk	Kazakh	қазақ тілі
kl	"Kalaallisut, Greenlandic"	"kalaallisut, kalaallit oqaasii"
km	Khmer	"ខ្មែរ, ខេមរភាសា, ភាសាខ្មែរ"
kn	Kannada	ಕನ್ನಡ
ko	Korean	"한국어, 조선어"
kr	Kanuri	Kanuri
ks	Kashmiri	"कश्मीरी, كشميري‎"
ku	Kurdish	"Kurdî, كوردی‎"
kv	Komi	коми кыв
kw	Cornish	Kernewek
ky	Kyrgyz	"Кыргызча, Кыргыз тили"
la	Latin	"latine, lingua latina"
lb	"Luxembourgish, Letzeburgesch"	Lëtzebuergesch
lg	Ganda	Luganda
li	"Limburgish, Limburgan, Limburger"	Limburgs
ln	Lingala	Lingála
lo	Lao	ພາສາລາວ
lt	Lithuanian	lietuvių kalba
lu	Luba-Katanga	Tshiluba
lv	Latvian	latviešu valoda
mg	Malagasy	fiteny malagasy
mh	Marshallese	Kajin M̧ajeļ
mi	Māori	te reo Māori
mk	Macedonian	македонски јазик
ml	Malayalam	മലയാളം
mn	Mongolian	монгол
mr	Marathi (Marāṭhī)	मराठी
ms	Malay	"bahasa Melayu, بهاس ملايو‎"
mt	Maltese	Malti
my	Burmese	ဗမာစာ
na	Nauru	Ekakairũ Naoero
nb	Norwegian Bokmål	Norsk bokmål
nd	Northern Ndebele	isiNdebele
ne	Nepali	नेपाली
ng	Ndonga	Owambo
nl	Dutch	"Nederlands, Vlaams"
nn	Norwegian Nynorsk	Norsk nynorsk
no	Norwegian	Norsk
nr	Southern Ndebele	isiNdebele
nv	"Navajo, Navaho"	"Diné bizaad, Dinékʼehǰí"
ny	"Chichewa, Chewa, Nyanja"	"chiCheŵa, chinyanja"
oc	Occitan	"occitan, lenga d'òc"
oj	"Ojibwe, Ojibwa"	ᐊᓂᔑᓈᐯᒧᐎᓐ
om	Oromo	Afaan Oromoo
or	Oriya	ଓଡ଼ିଆ
os	"Ossetian, Ossetic"	ирон æвзаг
pa	"Panjabi, Punjabi"	"ਪੰਜਾਬੀ, پنجابی‎"
pi	Pāli	पाऴि
pl	Polish	"język polski, polszczyzna"
ps	"Pashto, Pushto"	پښتو
pt	Portuguese	português
qu	Quechua	"Runa Simi, Kichwa"
rm	Romansh	rumantsch grischun
rn	Kirundi	Ikirundi
ro	Romanian	limba română
ru	Russian	русский язык
rw	Kinyarwanda	Ikinyarwanda
sa	Sanskrit (Saṁskṛta)	संस्कृतम्
sc	Sardinian	sardu
sd	Sindhi	"सिन्धी, سنڌي، سندھی‎"
se	Northern Sami	Davvisámegiella
sg	Sango	yângâ tî sängö
si	"Sinhala, Sinhalese"	සිංහල
sk	Slovak	"slovenčina, slovenský jazyk"
sl	Slovene	"slovenski jezik, slovenščina"
sm	Samoan	gagana fa'a Samoa
sn	Shona	chiShona
so	Somali	"Soomaaliga, af Soomaali"
sq	Albanian	Shqip
sr	Serbian	српски језик
ss	Swati	SiSwati
st	Southern Sotho	Sesotho
su	Sundanese	Basa Sunda
sv	Swedish	Svenska
sw	Swahili	Kiswahili
ta	Tamil	தமிழ்
te	Telugu	తెలుగు
tg	Tajik	"тоҷикӣ, toğikī, تاجیکی‎"
th	Thai	ไทย
ti	Tigrinya	ትግርኛ
tk	Turkmen	"Türkmen, Түркмен"
tl	Tagalog	"Wikang Tagalog, ᜏᜒᜃᜅ᜔ ᜆᜄᜎᜓᜄ᜔"
tn	Tswana	Setswana
to	Tonga (Tonga Islands)	faka Tonga
tr	Turkish	Türkçe
ts	Tsonga	Xitsonga
tt	Tatar	"татар теле, tatar tele"
tw	Twi	Twi
ty	Tahitian	Reo Tahiti
ug	"Uyghur, Uighur"	"Uyƣurqə, ئۇيغۇرچە‎"
uk	Ukrainian	українська мова
ur	Urdu	اردو
uz	Uzbek	"O‘zbek, Ўзбек, أۇزبېك‎"
ve	Venda	Tshivenḓa
vi	Vietnamese	Tiếng Việt
vo	Volapük	Volapük
wa	Walloon	walon
wo	Wolof	Wollof
xh	Xhosa	isiXhosa
yi	Yiddish	ייִדיש
yo	Yoruba	Yorùbá
za	"Zhuang, Chuang"	"Saɯ cueŋƅ, Saw cuengh"
zh	Chinese	"中文 (Zhōngwén), 汉语, 漢語"
zu	Zulu	isiZulu
