A	Allergy	알레르기
OSS	Orthopedic Surgery Of The Spine	척추 정형 외과
OT	Otology	이과
OTO	Otolaryngology	이비인후과
OTR	Orthopedic Trauma	정형 외과적 외상
P	Psychiatry	정신 의학
PA	Clinical Pharmacology	임상 약리학
PAN	Pediatric Anesthesiology	소아 마취학
PCC	Pulmonary Critical Care Medicine	폐 중환자 의학
PCH	Chemical Pathology	화학 병리학
PCP	Cytopathology	세포 병리학
PCS	Pediatric Cardiothoracic Surgery	소아 심흉부 외과
PD	Pediatrics	소아과
PDA	Pediatric Allergy	소아 알레르기
PDC	Pediatric Cardiology	소아 심장학
PDD	Pediatric Dermatology	소아 피부과
PDE	Pediatric Endocrinology	소아 내분비학
PDI	Pediatric Infectious Diseases	소아 전염병
PDO	Pediatric Otolaryngology	소아 이비인후과
PDP	Pediatric Pulmonology	소아 호흡기 내과
PDR	Pediatric Radiology	소아 영상 의학
PDS	Pediatric Surgery - Surgery	소아 외과 - 외과
PDT	Medical Toxicology - Pediatrics	의학 독성학 - 소아과
PE	Pediatric Emergency Medicine - Emergency Medicine	소아 응급 의학 - 응급 의학
PEM	Pediatric Emergency Medicine - Pediatrics	소아 응급 의학 - 소아과
PFP	Forensic Psychiatry	법의 정신 의학
PG	Pediatric Gastroenterology	소아 소화기 내과
PHM	Pharmaceutical Medicine	제약 의학
PHO	Pediatric Hematology-Oncology	소아 혈액학 종양학
PHP	Public Health and General Preventive Medicine	공중 보건 및 일반 예방 의학
PLI	Clinical and Lab Immunology - Pediatrics	임상 실험 면역학 - 소아과
PLM	Palliative Medicine	완화 치료 의학
PM	Physical Medicine and Rehabilitation	물리 요법 의학 및 재활 치료
PMD	Pain Medicine	통증 의학
PMR	Pain Management (Physical Medicine and Rehabilitation)	통증 관리(물리 요법 의학 및 재활 치료)
PN	Pediatric Nephrology	소아 신장학
PO	Pediatric Ophthalmology	소아 안과
PP	Pediatric Pathology	소아 병리학
PPR	Pediatric Rheumatology	소아 류머티스학
PRM	Pediatric Rehabilitation Medicine	소아 재활 의학
PRO	Proctology	직장학
PS	Plastic Surgery	성형 외과
PSH	Plastic Surgery Within The Head and Neck	두경부 성형 외과
PTH	Anatomic and Clinical Pathology	해부 임상 병리학
PTX	Medical Toxicology - Preventive Medicine	의학 독성학 - 예방 의학
PUD	Pulmonary Diseases	폐 질환
PYA	Psychoanalysis	정신 분석
PYG	Geriatric Psychiatry	노인 정신 의학
R	Radiology	영상 의학
REN	Reproductive Endocrinology	생식 내분비학
RHU	Rheumatology	류머티스학
RNR	Neuroradiology	신경 영상 의학
RO	Radiation Oncology	방사선 종양학
RP	Radiological Physics	방사선 물리학
SM	Sleep Medicine	수면 의학
SP	Selective Pathology	선택 병리학
SLP	Speech-Language Pathologist	언어치료사
UP	Pediatric Urology	소아 비뇨기과
